City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
190,Chiang Khong,20.2613,100.4046,68.63,41,10,1.77,TH,clear sky
191,Asyut,27.181,31.1837,50.52,51,2,11.65,EG,clear sky
192,Matamoros,25.5333,-103.25,60.51,36,10,3.02,MX,clear sky
193,Waw,7.7029,27.9953,77.9,25,100,4.38,SS,overcast clouds
194,Namibe,-15.1961,12.1522,71.11,78,2,6.24,AO,clear sky
195,Shakiso,5.75,38.9167,55.13,59,68,4.03,ET,broken clouds
196,Kotka,60.4664,26.9458,11.32,97,99,5.95,FI,overcast clouds
197,Batesville,35.7698,-91.641,25.21,75,100,5.99,US,overcast clouds
198,Guarapari,-20.6667,-40.4975,76.89,91,100,3.2,BR,overcast clouds
199,Ayan,56.45,138.1667,-2.52,68,95,14.7,RU,overcast clouds
200,Saint-Joseph,-21.3667,55.6167,79.16,89,100,27.63,RE,moderate rain
201,Verkhoyansk,67.5447,133.385,-34.33,100,77,1.74,RU,broken clouds
202,Tshikapa,-6.4167,20.8,66.52,97,100,2.15,CD,overcast clouds
203,Upernavik,72.7868,-56.1549,3.79,66,100,6.04,GL,overcast clouds
204,Bardiyah,31.7561,25.0865,53.65,66,44,27.18,LY,scattered clouds
205,Fairbanks,64.8378,-147.7164,1.02,51,100,5.46,US,overcast clouds
206,Guerrero Negro,27.9769,-114.0611,59.94,30,0,16.78,MX,clear sky
207,Surt,31.2089,16.5887,56.39,58,1,11.1,LY,clear sky
208,Bastrop,32.7562,-91.8724,31.68,89,100,4.0,US,overcast clouds
209,Moroni,-11.7022,43.2551,80.06,82,100,8.66,KM,overcast clouds
210,Lagoa,39.05,-27.9833,57.76,74,100,13.2,PT,overcast clouds
211,Chiredzi,-21.05,31.6667,72.54,70,46,1.21,ZW,scattered clouds
212,Honningsvag,70.9821,25.9704,25.56,71,29,21.41,NO,scattered clouds
213,Provideniya,64.3833,-173.3,4.26,59,9,23.94,RU,clear sky
214,Bargi,22.9833,79.8667,56.26,53,0,3.38,IN,clear sky
215,Sheltozero,61.3667,35.3667,-7.64,100,98,2.8,RU,overcast clouds
216,Port Hardy,50.6996,-127.4199,45.75,94,100,13.51,CA,overcast clouds
217,Camocim,-2.9022,-40.8411,77.32,88,100,10.58,BR,overcast clouds
218,Cherskiy,68.75,161.3,-28.08,98,21,3.65,RU,few clouds
219,Ketchikan,55.3422,-131.6461,44.58,93,100,18.41,US,heavy intensity rain
220,Rjukan,59.8789,8.5941,39.81,99,100,10.96,NO,light snow
221,Mmabatho,-25.85,25.6333,64.69,87,99,9.51,ZA,overcast clouds
222,Tezu,27.9167,96.1667,62.33,44,68,0.98,IN,broken clouds
