City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Bundaberg,AU,78.22,scattered clouds,-24.85,152.35,Takalvan Motel
543,Bambanglipuro,ID,76.26,overcast clouds,-7.95,110.2833,Puri Brata
547,Bangkalan,ID,76.95,broken clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
560,Ikot Ekpene,NG,77.22,clear sky,5.1794,7.7108,Prespter Royal Dutch
570,Kibala,TD,75.45,few clouds,9.1104,18.3463,hotel safari
572,Kampot,KH,78.85,scattered clouds,10.6167,104.1833,Two Moons Hotel
584,Emerald,AU,76.33,clear sky,-23.5333,148.1667,The Irish Village
588,Katobu,ID,77.49,overcast clouds,-4.9408,122.5276,La Ode Husein
589,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
590,Itarema,BR,79.65,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
595,Acari,PE,75.51,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
598,Ternate,ID,80.49,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
601,Urucui,BR,80.87,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
608,Pak Phanang,TH,79.07,scattered clouds,8.3511,100.202,Green Park Inn Hotel
611,Santiago Del Estero,AR,76.26,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
621,Mazatlan,MX,75.16,clear sky,23.2167,-106.4167,Hotel Playamar
622,Anloga,GH,80.91,clear sky,5.7947,0.8973,Pin Drop Hotel
623,Maragogi,BR,79.52,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
627,Salinopolis,BR,78.6,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
628,Alta Gracia,AR,75.88,scattered clouds,-31.6529,-64.4283,Hotel Ritz
632,Lodwar,KE,86.2,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
633,Soyo,AO,77.92,broken clouds,-6.1349,12.3689,Hotel Mpampa
636,Panlaitan,PH,80.08,overcast clouds,12.1191,119.8486,Panlaitan Cetro Beach
648,Sabang,ID,81.84,overcast clouds,5.8933,95.3214,Hotel Citra
654,Sainte-Marie,RE,80.73,overcast clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
655,Upata,VE,81.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
657,Labuhan,ID,78.37,broken clouds,-6.8844,112.2051,DoubleFAG
666,Nisia Floresta,BR,81.41,few clouds,-6.0911,-35.2086,Rancho Crepusculo
673,Puerto Carreno,CO,87.42,broken clouds,6.189,-67.4859,Casa Hotel Victoria
677,Mackay,AU,82.69,overcast clouds,-21.15,149.2,International Lodge Motel
680,Fare,PF,80.62,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
686,Bourail,NC,84.99,overcast clouds,-21.5667,165.4833,Motel Allamanda
688,Marovoay,MG,80.74,light rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
689,San Policarpo,PH,78.55,overcast clouds,12.1791,125.5072,Agapita M. Nicart
704,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
706,Malakal,SS,76.71,scattered clouds,9.5334,31.6605,Nile Palace Hotel
710,Luanda,AO,75.2,few clouds,-8.8368,13.2343,Hotel Fórum
718,Paracuru,BR,82.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
719,Mozarlandia,BR,78.64,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
730,Porto Velho,BR,77.05,light rain,-8.7619,-63.9039,Hotel Central
731,La Flecha,HN,85.64,broken clouds,15.2833,-88.4833,Hotel y Comedor San Judas
732,Sola,VU,81.7,light rain,-13.8833,167.55,Leumerus Bungalows
735,Maningrida,AU,79.14,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
